4,204
4,140
4,228
4,322
4,166
4,296
4,129
4,37
4,294
4,172
4,127
4,246
4,158
4,270
4,156
4,283
4,79
4,132
4,18
4,83
4,64
4,81
4,334
4,16
4,111
4,148
4,160
4,308
4,200
4,224
4,304
4,212
4,40
4,265
4,316
4,312
4,233
4,319
4,149
4,53
3,244
3,334
3,191
3,266
4,214
4,148
4,226
4,169
4,298
4,288
4,264
4,174
4,245
4,171
4,245
4,17
4,239
4,279
4,178
4,199
4,195
4,70
4,215
4,263
4,6
4,273
4,155
4,235
4,127
4,205
4,65
4,282
4,213
4,3
4,169
4,84
4,262
4,180
4,247
4,218
4,19
4,103
4,175
4,122
3,252
3,98
3,114
3,46
4,8
4,201
4,15
4,209
4,277
4,177
4,118
4,136
4,176
4,102
4,84
4,29
4,182
4,192
4,199
4,163
4,12
4,232
4,228
4,106
4,45
4,113
4,335
4,302
4,311
4,193
4,198
4,282
4,216
4,105
4,106
4,36
4,52
4,329
4,112
4,317
4,74
4,280
4,247
4,257
3,49
3,229
3,95
3,243
4,107
4,286
4,326
4,51
4,119
4,330
4,287
4,216
4,152
4,118
4,131
4,48
4,323
4,255
4,314
4,137
4,242
4,132
4,196
4,293
4,7
4,81
4,188
4,299
4,66
4,70
4,8
4,256
4,128
4,43
4,144
4,33
4,335
4,276
4,24
4,301
4,268
4,90
4,233
4,10
3,306
3,94
3,90
3,115
4,217
4,145
4,259
4,109
4,32
4,154
4,320
4,214
4,82
4,146
4,241
4,260
4,203
4,135
4,161
4,236
4,85
4,222
4,307
4,221
4,107
4,327
4,158
4,14
4,236
4,246
4,262
4,54
4,21
4,2
4,170
4,258
4,303
4,41
4,22
4,253
4,213
4,150
4,261
4,21
3,249
3,274
3,313
3,102
4,133
4,27
4,11
4,125
4,250
4,181
4,280
4,248
4,292
4,32
4,67
4,211
4,321
4,331
4,279
4,99
4,31
4,9
4,201
4,284
4,96
4,88
4,86
4,159
4,165
4,295
4,68
4,108
4,116
4,254
4,190
4,69
4,34
4,315
4,313
4,26
4,239
4,34
4,186
4,234
3,206
3,194
3,195
3,141
4,128
4,286
4,222
4,168
4,138
4,12
4,45
4,161
4,310
4,207
4,124
4,296
4,101
4,237
4,151
4,231
4,219
4,318
4,131
4,189
4,248
4,278
4,16
4,13
4,206
4,175
4,153
4,117
4,134
4,298
4,240
4,94
4,97
4,55
4,330
4,35
4,143
4,260
4,318
4,332
3,200
3,23
3,291
3,275
4,36
4,5
4,281
4,197
4,41
4,305
4,173
4,10
4,208
4,179
4,261
4,270
4,91
4,171
4,44
4,263
4,272
4,75
4,92
4,238
4,5
4,89
4,78
4,40
4,146
4,142
4,105
4,20
4,139
4,204
4,269
4,59
4,321
4,91
4,11
4,226
4,223
4,329
4,220
4,185
3,39
3,176
3,332
3,1
4,256
4,259
4,136
4,297
4,267
4,193
4,251
4,3
4,101
4,198
4,19
4,264
4,62
4,325
4,76
4,324
4,336
4,51
4,110
4,274
4,99
4,183
4,145
4,230
4,47
4,137
4,53
4,57
4,6
4,269
4,4
4,187
4,63
4,164
4,242
4,112
4,164
4,58
4,55
4,184
3,38
3,285
3,265
3,179
4,42
4,60
4,227
4,87
4,308
4,231
4,167
4,284
4,289
4,25
4,209
4,299
4,202
4,92
4,133
4,4
4,49
4,309
4,300
4,73
4,61
4,210
4,272
4,108
4,310
4,80
4,276
4,333
4,71
4,93
4,140
4,192
4,267
4,77
4,120
4,194
4,126
4,28
4,121
4,221
3,141
3,255
3,219
3,290
2,72
2,187
2,14
2,130
4,240
4,162
4,78
4,61
4,157
4,244
4,156
4,50
4,97
4,283
4,147
4,225
4,30
4,68
4,316
4,295
4,271
4,123
4,56
4,27
4,328
4,307
4,174
4,98
4,268
4,325
4,266
4,225
4,100
4,104
4,309
4,66
3,162
3,151
3,28
3,39
